id,name,kind,country,notes
beirut_hub,Beirut,city_port,Lebanon,"Reuses settings.GBA_CENTER_LATLON directly -- skip geocoding for this node. Aggregates the already-modeled B1-B7/ML1-4 trunk network from Layer B."
tripoli,Tripoli,port,Lebanon,"ML4's real geocoded terminus in this repo. NOTE: ocftc_digitized/README.md's original source search only confirmed B1/B2/B3/ML3 as regularly operating -- ML4's operating status is unconfirmed, not just planned-vs-built."
jounieh,Jounieh,port,Lebanon,"Intermediate point on the real ML4 corridor. Cedar Waves ferry port (Jounieh-Cyprus service), launch reported for mid-2026."
saida,Saida,port,Lebanon,"Intermediate point on the real B6-ML2 corridor."
tyre,Tyre,port,Lebanon,"B6-ML2's real geocoded terminus in this repo (confirmed via ocftc_stops_manual.csv, last stop = 'Tyre / Borj El Chmali Intersection'). Operating status unconfirmed, same caveat as Tripoli."
chtaura,Chtaura,inland_hub,Lebanon,"ML1's real geocoded terminus in this repo. Operating status unconfirmed, same caveat as Tripoli."
baalbek,Baalbek,inland_hub,Lebanon,"Beyond ML1's actual terminus (Chtaura) -- no formal transit reaches Baalbek today."
rayak,Rayak,rail_junction,Lebanon,"Historic junction of the narrow-gauge Beirut-Damascus line and the standard-gauge line toward Homs/Aleppo/the old Hejaz network. Dormant since the network shut down in the 1970s-1990s."
masnaa,Masnaa,border_crossing,Lebanon,"Lebanon-Syria crossing on the historic/current Beirut-Damascus corridor."
aboudiyeh,Aboudiyeh,border_crossing,Lebanon,"Lebanon-Syria crossing on the historic Tripoli-Homs rail corridor; also the corridor named in 2024-2025 Lebanese rail-revival feasibility discussions."
damascus,Damascus,city,Syria,"Historic Beirut-Damascus rail terminus; Arab Mashreq International Railway node."
homs,Homs,city,Syria,"Historic Tripoli-Homs rail terminus; node on the Hejaz Railway revival corridor."
aleppo,Aleppo,city,Syria,"Stands in for the Turkey-bound leg of the Hejaz Railway revival (the Sept 2025 Turkey-Syria-Jordan framework's first phase: Turkey to Aleppo, then Aleppo-Damascus-Jordan)."
amman,Amman,city,Jordan,"Node for the April 2026 Amman trilateral transport memorandum (Turkey-Syria-Jordan)."
riyadh,Riyadh,city,Saudi Arabia,"Node for the June 2026 Turkey-Saudi Arabia MoU extending the revival from Jordan's al-Haditha crossing into the Saudi network."
larnaca,Larnaca,port,Cyprus,"Cedar Waves ferry destination from Jounieh (~4hr crossing), launch reported for mid-2026."
latakia,Latakia,port,Syria,"Cedar Waves planned extension from Jounieh."
mersin,Mersin,port,Turkey,"Cedar Waves planned extension from Jounieh."
