source_id,target_id,mode,status,notes,source_citation
beirut_hub,chtaura,bus,formal_2024_unconfirmed_operation,"OCFTC ML1 -- real geocoded route already in this repo (data/raw/ocftc_digitized).","repo: ocftc_stops_manual.csv"
beirut_hub,tripoli,bus,formal_2024_unconfirmed_operation,"OCFTC ML4 -- real geocoded route already in this repo, passes Jounieh/Byblos/Batroun.","repo: ocftc_stops_manual.csv"
beirut_hub,jounieh,bus,formal_2024_unconfirmed_operation,"Intermediate point on the real ML4 corridor.","repo: ocftc_stops_manual.csv"
beirut_hub,saida,bus,formal_2024_unconfirmed_operation,"Intermediate point on the real B6-ML2 corridor.","repo: ocftc_stops_manual.csv"
beirut_hub,tyre,bus,formal_2024_unconfirmed_operation,"OCFTC B6-ML2 -- real geocoded route already in this repo.","repo: ocftc_stops_manual.csv"
chtaura,baalbek,road,informal_only,"No formal transit reaches Baalbek today; private cars/informal vans only.",""
chtaura,rayak,road,informal_only,"No formal transit; private cars/informal vans only.",""
rayak,masnaa,historic_rail,historic_dormant,"Narrow-gauge Beirut-Damascus line via Rayak, dormant since the network shut down.","general historical record, not independently re-verified for this project"
masnaa,damascus,historic_rail,historic_dormant,"Continuation of the historic Beirut-Damascus line.","general historical record, not independently re-verified for this project"
tripoli,aboudiyeh,historic_rail,historic_dormant,"Historic Tripoli-Homs line, dormant.","general historical record, not independently re-verified for this project"
aboudiyeh,homs,historic_rail,historic_dormant,"Continuation of the historic Tripoli-Homs line; named in 2024-2025 Lebanese rail-revival feasibility discussions.","AGBI: lebanese-officials-promote-revival-of-rail-network (2025-01)"
damascus,homs,rail,proposed_revival,"Arab Mashreq International Railway agreement -- Lebanon is a signatory (ESCWA, 2003/2005).","ESCWA Agreement on International Railways in the Arab Mashreq"
homs,aleppo,rail,proposed_revival,"Sept 2025 Turkey-Syria-Jordan framework reviving the Hejaz Railway; first phase reconnects Turkey to Aleppo, then onward via Aleppo-Damascus-Jordan.","Middle East Eye / AGSI Hejaz Railway coverage, 2025-2026"
damascus,amman,rail,proposed_revival,"April 2026 Amman trilateral transport memorandum (Turkey-Syria-Jordan).","Middle East Eye Hejaz Railway coverage, 2026-04"
amman,riyadh,rail,proposed_revival,"June 9 2026 Turkey-Saudi Arabia MoU extending the revival from Jordan's al-Haditha crossing into the Saudi rail network toward Riyadh.","Middle East Eye Hejaz Railway coverage, 2026-06"
jounieh,larnaca,ferry,proposed_2026,"'Cedar Waves' ferry, Abou Merhi Group, ~4hr crossing, launch reported mid-2026.","thebeiruter.com / L'Orient Today ferry coverage, 2025-2026"
jounieh,latakia,ferry,proposed_2026,"Cedar Waves planned extension.","thebeiruter.com ferry coverage"
jounieh,mersin,ferry,proposed_2026,"Cedar Waves planned extension.","thebeiruter.com ferry coverage"
